Difference (bulimia),Difference (alcohol),Death per Million
-0.003344482,8,6533.16
2.147157191,10.38461538,5254.62
10.7993311,2.153846154,4764.62
5.123745819,12.46153846,4672.18
1.802675585,12.69230769,4506.26
-9.695652174,-1.769230769,4432.05
-3.147157191,0.076923077,4309.47
3.789297659,3.769230769,3846.59
-1.367892977,8.461538462,3731.69
10.02341137,12.38461538,3572.01
-0.351170569,16.38461538,3365.63
-8.872909699,10.69230769,3206.49
2.79264214,17.53846154,3131.87
5.070234114,7.461538462,3121.25
2.501672241,15.07692308,3041.07
-0.943143813,13.15384615,2998.2
4.939799331,9,2983.01
6.642140468,11,2962.69
1.678929766,12.53846154,2914.06
-5.501672241,13.07692308,2851.53
3.043478261,9.307692308,2774.9
7.97993311,10.53846154,2702.56
28.40468227,11.15384615,2691.38
3.040133779,14.07692308,2658.9
2.638795987,7,2657.71
-0.2909699,12.76923077,2602.76
-3.591973244,5,2534.99
2.976588629,1.461538462,2533.71
12.68896321,13,2521.04
-4.210702341,12.23076923,2515.52
0.91638796,1,2430.58
1.357859532,8.076923077,2282.23
2.361204013,12.15384615,2178.17
-3.468227425,4.384615385,2124.07
-17.66555184,11.84615385,2072.95
0.193979933,8,2040.39
4.47826087,3.538461538,2021.49
8.615384615,11.23076923,1924.44
-2.498327759,9.692307692,1901.92
3.698996656,6.384615385,1868.7
-0.090301003,16.15384615,1813.32
1.581939799,12.92307692,1785.53
-2.297658863,1.538461538,1748.36
-0.197324415,7,1708.9
-7.886287625,9.307692308,1693.94
7.789297659,14.30769231,1649.71
-0.173913043,2.615384615,1611.53
7.658862876,10.46153846,1586.04
-5.16722408,11.84615385,1576.23
9.64548495,13,1506.33
6.882943144,-5,1390.66
13.4916388,1.076923077,1380.97
3.752508361,17.84615385,1306.01
14.58528428,9.153846154,1239.32
-1.889632107,14.69230769,1223.46
1.237458194,10.15384615,1177.94
2.598662207,-2.153846154,1165.95
-1.040133779,8.230769231,1165.87
-0.806020067,8.615384615,1116.86
8.939799331,20.15384615,1101.48
0.558528428,11.92307692,1044.93
5.311036789,10.38461538,1026.96
8.304347826,13.30769231,1006.27
-4.277591973,11.46153846,990.62
3.64548495,10.46153846,983.29
5.428093645,0.615384615,967.84
3.608695652,6.230769231,947.11
-0.558528428,14.61538462,896.92
1.20735786,9.153846154,854.88
15.23076923,2.769230769,796.78
-2.127090301,2.923076923,778.22
-9.498327759,15.69230769,756.13
3,8.076923077,751.49
-2.498327759,-3.692307692,724.84
1.046822742,5.230769231,675
-0.665551839,-8.923076923,640.53
1.461538462,12.76923077,638.56
-1.010033445,16.38461538,607.07
5.585284281,7.230769231,599.06
-6.140468227,14,574.46
4.558528428,19.53846154,549.61
1.585284281,10.69230769,498.7
3.307692308,-1,463.23
5.692307692,9.076923077,442.79
10.35785953,6.153846154,440.37
9.762541806,10.46153846,417.74
7.076923077,8.538461538,407.4
10.45150502,18.07692308,381.68
3.090301003,12.61538462,372.33
8.2909699,27.69230769,370.38
-15.17056856,-4.538461538,355.47
-6.909698997,-0.923076923,327.96
-1.966555184,10.61538462,264.18
7.538461538,8.692307692,256.07
-4.882943144,6.923076923,243.78
0.923076923,18.07692308,239.05
17.39799331,14.07692308,235.61
14.57190635,23.23076923,225.65
2.859531773,5.692307692,225.41
10.4548495,0.846153846,222.1
4.64548495,13.07692308,199.5
-6.337792642,22.46153846,185.3
4.642140468,1.923076923,184.24
-5.02006689,7.692307692,178.62
-3.578595318,1.769230769,159.66
-0.89632107,13,140.19
3,4.153846154,120.58
3.454849498,6.769230769,114.61
5.063545151,8.769230769,107.43
-3.150501672,25.53846154,95.4
9.638795987,9,86.64
-0.79264214,0.615384615,81.23
6.652173913,4.076923077,74.47
0,5.692307692,73.96
4.120401338,1.923076923,73.52
-10.36454849,3.615384615,72.45
-11,16.46153846,66.99
-17.29431438,-5.153846154,59.7
4.090301003,4,48.75
-0.177257525,4.076923077,47.5
5.056856187,10.23076923,35.29
1.826086957,1.538461538,30.95
-1.177257525,1.461538462,15.63
-7.153846154,11.46153846,15.4
0.692307692,0.846153846,13.79
5,-4.923076923,13.41
3.993311037,16.38461538,9.37
